,title_lead,category
0,حضور طالب لو سپاه صح رسانه خبر احتمال حضور وحيد طالب لو دروازه ب تي فوتبال استقلال سپاه همراهي فصل آتي داده_بودند,ورزشی
1,پيروزي بسكتبال مهرا آسیا مهرامي كوارترهاي نتايج 19 8 26 7 پيروزي گذاشتند كوار چهار نتيجه 18 16 واگذار كوار تساوي 16 16 پاي رسيد,ورزشی
2,تبريک حزب الله لبن باب قهرماني سپاه محمد رضا ساک نامه سيد حسن نصر الله شاخه ورزشي حزب الله لبن باشگاه العهد لبن قهرماني تي فوتبال العهد رقاب ليگ حرفه باشگاه لبن تبريک,ورزشی
3,علي دايي مطمئن باشيد تي فصل آينده نظر بسته برويد خبرگزاري بپرسيد كنفرانس خبري مطبوعاتي بازي صحب شنيدند خبرگزاري صحب تحريف افتخار كاشاني كار خاطر حضور آمد باشگاه پرسپوليس مطمئن باشيد پرسپوليس موفق كاشاني ثاب خيلي پرسپوليسي فعاليت بالايي مديري,ورزشی
4,چکیده مه حوادث اتفاق شبانه مرد شرور 7 نوچه تعقيب پليس قرار دستگيري دانشمند هسته قلابي دستگيري سركردگ گلدكوئيست+عکس مرد چادر كودك 9 ساله ربود شكستن دس پاي فقرا پول بيمه قتل تجاوز كارنامه جنايتكار بيكار دزد اینترنت دانشجو تصادف بزرگراه اما عل همسایه فضول زوج جو روانه دادگاه دستگیر نفر سر ایران شرک هرم امار,اجتماعی
5,انتقال درخ گلخانه ملاح اشاره حضور پاس تهر اشتباه پاس فعل پاس قیاس موقع ت شرایط خاص پاس 40 بست نتیجه فوتبال بستگ پول مطمئن شرایط مساعد پاس سپاه ذوب آهن نتیجه منت اتفاق نیاز سه 5 ساله,ورزشی
6,روزنامه پرسپوليس منتشر آخرين اخبار باشگاه پرسپوليس گزار مصاحبه اختصاصي بازيکن کادر فني تي فوتبال پرسپوليس جمله مطالب ويژه نامه خواهد_بود,ورزشی
7,تقس پست‏ حضور سعيدلو علي آبادي محمد علي آبادي نشس فدراسيون مدال گوانگجو كسب خواهند_كرد توجه لزو بازبيني سه ماه آينده جلساتي فدراسيون عملكرد گوانگجو بيني,ورزشی
8,احتمال ماندن رفتن مايلي كهن 100 درصد شهبازي برگزاري جشن نارنجي وفادار ابراهي صادقي كاپي تي سايپا آيا بازيكن پيشنهادي جدايي سايپا داشته_اس تي وفادار مانده مقطعي مربي تي ملي باشگاهي فعالي تي ببرد صادقي پيشنهاد پاسخ منفي صادقي بزرگ ليدر تي سايپا,ورزشی
9,نگراني تكرار حرمت سعودي زائر ايراني نكته يادآوري سال هاس عربس رفتار مناسبي زائر ايراني عاد سالي برخورد تشديد شده_اس,اجتماعی
10,معماي ربوده مجسمه شهر تهر سرق سريالي مجسمه شهر تهر تعطيل نوروز 89 شروع سکو مسوول ذيربط خبري سرق اوايل ارديبه ماه منتشر نشد,اجتماعی
11,اينترميل جا قهرماني آغو اينترميل بايرن مونيخ رسيدن فينال ليگ قهرمان باشگاه اروپا فاتح ليگ جا حذفي ايتاليا ال شده_بودند فصل تي بارسلونا موفق فتح جا معتبر اروپايي شده_بود,ورزشی
12,پرداخ وا 10 توماني خوداشتغالي معاون مشارك مردمي ساز بهزيستي كشور پرداخ وا قرض الحسنه 10 توماني منظور اشتغالي مددجوي معلول پوش بهزيستي خبر,اجتماعی
13,فرافكني وزار بهدا برنج آلوده هفته وزار بهدا اطلاعیه نمونه آزما 42 برنج واردات 16 دانشگاه علو پزشک سال برنج تایید وزار بهدا در آموز پزشک 16 دانشگاه علو پزشک کشور ناظر گمرک ورود اقلا خوراک آشامیدن کشور,اجتماعی
14,جايگزيني مجسمه شهدا مشاهير شايعه موسوي مجسمه سطح شهر معرض تخريب قرار پروژه شامل آثاري ارز هنرمند قيد حي نيستند مجسمه ميد حر اثر رحي زاده ارژنگ مجسمه كوهنورد ميد دربند اثر سرهنگ رياحي جمله,اجتماعی
15,لاریجان پیگیر دریاف غرام عراق موضوع غرام جنگ تحمیل فرامو شدن پیگیر خصوص رعا شرایط عراق مواجه,سیاسی
16,احتمال کاه سرباز دان آموز حمیدرضا حاج بابا پانزدهمین جلسه شورا هماهنگ پشتیبان بسیج دان آموز موضوع تبیین سیاس اولویت بسیج دان آموز فرهنگ کشور سال 89 درس آمادگ دفاع مسائل رخداد کشور دان آموز آموز,اجتماعی
17,توقيف 40 خودرو مزاح نواميس تعيين تكليف خودرو طبق دستورالعمل صادره اقدا زمينه هماهنگي قضايي آمده_اس,اجتماعی
18,گفتگو تلفن احمد نژاد اردوغ اردوغ ترکیه تلا جلب حما جهان بیانیه خواهد_گرف فرص ارزشمند توجه اقبال جامعه جهان قرار,سیاسی
19,شرط مجلس پشتیبان بیانیه تهر مجلس شوراي اسلامي صراحتاً بيانيه مجلس منعكس دول اير ميانجيگري تركيه برزيل قالب تحقق مفاد بيانيه تهر گا بردارد اقدا گزينشي,سیاسی
20,حراج نادر تمبر جه تمبر سوئد سه شیلینگ زرد شهر نمونه مانده ار تمبر سه شیلینگ اشتباه چاپ سبز رنگ باارز آثار حراج ژنو شمار رود,فرهنگی
21,تصاویر خرمشهر 26 سال جنگ خرمشهر آزاد نشد سؤال خرمشهر خوزستان ایران سال آزاد خرمشهر گذشته_اس مرور,فرهنگی
22,تصم شخص نماینده نظر مجلس موضوع تقدیر رسانه هجو فتنه حميد رسايي يكشنبه 19 ارديبه ماه نطق مي دستور رسا تصمي رسانه روزنامه كيه اير جو خبرگزاري فارس مجلس برگزار رسايي مصاحبه خبرگزاري فارس طوري سخن گويا مجلس شوراي اسلامي تصمي رسانه مدنظر نماينده تقدير كلمه مجلس تقدير مدير رسانه ذكر,سیاسی
23,بازدا حام البرادع مصر 8 نفر شهر دمنهور مصر حین فعال حما محمد البرادع مدیرکل اسبق آژانس انرژ اتم تغییر قانون اساس نیرو امنیت دستگیر,سیاسی
24,باهنر رهبر خرج بحث موقوفه دانشگاه آزاد مباحثي ارتباط مجلس مطرح اشاره يعني مخالفين موافقين موضوع نقل قول ارتباط وقف مقا معظ رهبري مطرح صورتي مسوول قواي حاك مساله حل رهبري خرج مسائل سطح كشاند نياز مقا مربوطه استفتاء استعلا لاز,سیاسی
25,... محمد رضا زائري,فرهنگی
26,تصاویر آبگرفتگ معابر خیابان مشهد بار بار عصر شنبه مشهد باعث آبگرفتگ سطح شهر خیابان شهر,فرهنگی
27,كاخ سفيد مخالف عرضهS- 300 اير مقا واشنگتن موافق آمریکا ارتباط مستق توافق قطعنامه شورا امن نمود سیاس رئيس جمهوري كشور همکار مشارک آمريكا روسيه,سیاسی
28,انتقاد توکل نظا بودجه کشور احمد توکل جلسه علن یکشنبه مجلس مخالف تغییر ساختار کمیسیون تلفیق اظهار مشکل کمیسیون شکل ناکارآمد تصویب بودجه دلیل 4 مشکل,اقتصادی
29,وعده مرتضو مبارزه قاچاق تبلیغ هوشمندانه ستاد برنامه اساس حما تولید صنع اشتغال کشور اشاره خاطر تلا قاچاق کالا ارز حرا شرع کشور تبلیغ,اقتصادی
30,تصاویر خاطره خرداد 1376 عصرایر خرداد سالروز حماسه مل ایر خرداد 1376 خورشید 29 ایران پا صندوق رأ رفتند انتخابات معنا پرشکوه رئیس جمهور کشور برگزیدند خرداد گذ نیک کلام بال تصاویر خاطر روز مرور,سیاسی
31,نيازمند انقلاب محور سياس بخواهي مدل توسعه غربي گذار سال توسعه تعالي اير طول كشد بخواهي مدل توسعه شرقي بگذراني اندازه چهل سال توسعه طولاني خواهد_شد تقوي فه معرف جمعي مسائل تفسير دين امر توسعه تعالي فرهنگ متناسب توسعه تعالي مشارك نخبگ اجماع امر توسعه مسأله بهره وري سطح ملي مه فرآیند شناخ مسأله سياس برنامه اجرا كشور طولاني,سیاسی
32,مسکن چین مجیدرضا حریر جمع خبرنگار اشاره حضور هیئت اس گوانگ دونگ چین تهر طبق برنامه واحد مسکون کشور ساخته_شود دلیل اتاق بازرگان مشترک ایر چین تصم گرفته_اس دعو سرمایه گذار چین ساخ مسکن ایر سازندگ تجهیز ساختمان حضور ایر سرمایه گذاری مشترک تجار ایران دعو,اقتصادی
33,حمله نظام ایر منتف اتم یوز میل تحلیل گر مسائل سیاس گزار مسئولین نظام اسرائیل بد شرایط اختلاف نظر 62 سال بسر برند موضوع کاف نتوانند عمل نظام خارج اسرائیل تصم واحد داشته_باشند ... توانا سیاس توجیه حمله مقا اسرائیل هرحرک کوچک ایر ضرر منطقه منافع آمریکا جه منجر,سیاسی
34,تصویب فوري طرح امر معروف نهي منكر تصويب نهايي طرح امر معروف نهي منكر قانون ناظر اعمالي جامعه علني احتمالي داشته_باشد ضرور تجسس ثاب مضر منافع عمومي امني ملي,فرهنگی
35,سارقي صندوق صدق گذ بازجويي مته ــ دليل مظنوني سرق صندوق صدق دستگير بنا مدارك كافي آزاد شده_بود سخن گشود 58 فقره سرق صندوق صدق ماه معترف مبلغي ريال سرق,اجتماعی
36,نامه رئيس قضا نخوانده امضا نمايندگ اعتمادي همكار مجلس نامه ارائه امضا خواندن متن خودداري تك تك نمايندگ فرص متن نامه بيانيه بخوانند,سیاسی
37,ابتکار برنج وارداتي عرضه نشود برنج وارداتي ميادين فروشگاه شهروند توزيع خواستاري زماني دعواي مي وزار بهدا ساز استاندارد حل نشده_اس عرضه برنج خودداري,اقتصادی
38,فرمانده ناجا کیس + تکذیبیه سردار راد شنیده خبرنگار تابناک حاک حک زود منتشر خواهد_شد فرمانده نیرو انتظام جمهور اسلام ایر آغاز کار خواهد_کرد گفتن سردار احمد مقد فرمانده تیر ماه 1384 رهبر معظ انقلاب فرمانده ناجا محمد باقر قالیباف منصوب شده_بود,سیاسی
39,"ابلاغ توافقنامه تهر محور دور تحر پایه گزار منتشره نامه دوشنبه یوکیو آمانو دبیر آژانس الملل انرژ اتم تسل خواهد_شد  حال معاهده آمریکا پیمان الملل متقاعد نساخته_اس ... مندرج قطعنامه 1 ـ گستر ممنوع فرو ه سلاح متعارف اع تانک خودرو زره هواپیما جنگ 2 ـ ملز کشور بازرس خطوط هوا کشتیران ورود خروج ایر مظنون حمل محموله ممنوعه 3 ـ ممنوع گشا شعب بانکدار ایران ادار مؤسس مال مرتبط برنامه هسته ...",سیاسی
40,علو انساني غيربومي اصلي مانع تحقق عدال اسلام علي ميثمي تهراني,فرهنگی
41,فائزه هاشم احمد نژاد مستند احمد نژاد خواهد_همه سوء ران خوار دزد افشا ریشه شعار گروه سال اسناد دسترس ادعا ارائه نشد شعار افکار عموم مسمو ثاب نکرد عدل اسلام,سیاسی
42,کشف شبکه هرم ترویج بدحجاب اخبار اطلاع حاک جریان هدا ترویج بدحجاب تعداد انگ برنامه هدا محافل خاص موضوع دنبال,اجتماعی
43,نشين مجالس لهو لعب فوتبال فارس تخريب پول نباشد مديري ناممكن امثال فلاح جعفري مته تدبيري فريب گوي اداره تربي بدني فارس پول بدهد تي داري ولي صداي گو مسؤولين اس برساند آيا رسال موفق آيا آمدند تمرين تي حماي معنوي خواهم_منكر زح دوس عزيز شيراز ولي فوتبال نامطلوب سالن ساختن ولي فوتبال ويترين ورز,ورزشی
44,ميرزاپور استقلال قرارداد بس دروازه ب فصل نقل انتقال هميشه حرف حديث منتظر سايپا تي قرارداد تمديد نكرد,ورزشی
45,سهرابي هركاري دوپينگ عضو تي ملي دوچرخه سواري باشگاه پتروشيمي تبريز اشاره سومين دوره ي برگزاري تور رياس جمهوري ضعيف برگزار خاطرن دوره تي خارجي بهتري اير آمده_بودند سال آينده تي خارجي اير بيايند اسك تي تغذيه حمل نقل تور رياس جمهوري ضعيف حرفي,ورزشی
46,مورينيو اين سلا مادريد مورينيو آينده مربيگري اينترميل خداحافظي رئال مادريد سلا اميدوار بتوان پاي هفته تصميمي اتخاذ جزئي باقي مانده مقا رئال مادريد توافق نهايي برس,ورزشی
47,مقا درد تي ملي خورد نايب رييس فدراسيون بوكس تاكيد شرايط تي ملي برنامه گوانگ جو مشكل زيادي ويژه سرمربي اوكرايني تي ملي مربي تي صحب آينده جلسه حضور اعضاي كميته فني مربي تي رييس فدراسيون نتايج تي ازبكس بررسي سرمربي توضيح تي نتيجه,ورزشی
48,ف خال باخ اين شگف مربي تابس زما تي مونيخي برعهده مقا قهرماني بوندس ليگا جا حذفي رساند مورينيو تبريك ولي احساس چيز نظر اين شايسته برد ولي سبك بازي برنده عجيب غريب,ورزشی
49,سعيدلو بهانه ك كاري نداري نشس باقرزاده رييس فدراسيون شمشيربازي سعيدلو شوراي عالي ورز سريع تشكيل حضور موفق بازي آسيايي خواهشمند سرع اختصاص بودجه توجه فدراسيون مدال آوري پول فدراسيون كشتي فوتبال وزنه تزريق نكنيد,ورزشی
50,خاطر جنگ منتشر گفتگو محسن رضا,سیاسی
51,رئال مادريد مايكون خريده دوس نايب رئيس باشگاه رئال مادريد خبرنگار روزنامه ورزشي پايتخ اسپانيا خبر داده_اند مايكون برزيلي جشن قهرماني تيم ليگ قهرمان اروپا فلورنتينو پرس ديدار كنار وكيل رسمي قرارداد رسمي همكاري رئال مادريد امضا,ورزشی
52,پرايد چرخه تاكسيراني حذف اولوي جمع آوري پيك فرسوده شبكه مسافربرهاي قديمي فاز پرايدهاي موجود چرخه تاكسي حمل ونقلي حذف خودروي پرايد مناسب تاكسي مسافر ناامن,اجتماعی
53,چاپ كاريكاتور موهن آفريقاي جنوبي اعتراض مسلمان شوراي عالي مسلمان آفريقاي جنوبي صدور اطلاعيه مسلمان نسب احترامي واكن,ورزشی
54,پيروزي ت فوتبال تركيه چک گل تركيه ديدار آرد تور دقايق 31 48 وارد دروازه حريف تك گل جمهوري چك ميل سرني دقيقه 81 ثمر رساند,ورزشی
55,قرمز آسيايي آبي علي دايي دور بازيگري تشنه موفقي قام سرمربي سايپا قهر ليگ پرسپوليس قهر جا حذفي جو مربي تاريخ فوتبال اير خواهد_بود طول 4 سال قهرماني برسد مضاف ابتدا دايي رسيدن كاپ جا حذفي پرسپوليس ابتداي حضور پرسپوليس تي شانس بالايي رسيدن قهرماني ليگ بر خاطر هدف كسب قهرماني جا حذفي اتفاقي دايي پرسپوليس قد فاصله,ورزشی
56,اردوي تي ملي ترك خبر فشار تمرين مشكل بدني كساني چيز اطلاع بي شايعه نپردازند مشكلي تمرين بدن كاملاً آماده_اس,ورزشی
57,مسي آقاي گلي واگذار نكرد مسي فصل 9 گل دس يافته جدول برترين گلزن بالا ايويكا اوليچ بايرن مونيخ كريستيانو رونالدو رئال مادريد ايستاد دوي مهاج فصل رقاب اروپايي تي هاي موفق گلزني شده_بودند,ورزشی
58,شرط پذیر فرزند انگلیس مسئول انتقال فرزند مسئولین کشور اساس توانمندی دانشگاه همتراز دانشگاه مبدأ خارج کشور جایاب,فرهنگی
59,طالب لو جباري فهرس تراكتورسازي باشگاه اختيار بازيكن خارجي نظر 3 بازيكن برزيلي بگيرد پيمنتا بازيكني قرضي تراكتورسازي برزيل بازگ بازيكناني فصل آينده تي تبريزي توپ خواهد_زد,ورزشی
60,آوازخوان دبیرکل ساز ملل استانبول ضیاف شام احمد داوداوغلو وزیر خارجه ترکیه افتخار میهمان کنفرانس الملل سومال استانبول ترتیب داده_بود ب مون زب کره آواز خواند,سیاسی
61,بازگ کشت دور اوج ناراحتند کاوه تاکید کشت مدع پوشیدن دوبنده ت مل طول سال آمادگ داشته_باشد فرد عضو ت مل دربیاید عملکرد یکساله ارزیاب قرار براینکه هدف کسب موفق رقابت جهان مسکو بازی آسیا گوانگژو درن المپیک 2012 لندن,ورزشی
62,جدال سوپر جا اروپا 5 مرداد موناکو استاديو لوئيس شهر موناكو فرانسه شب جشن قهرماني اينترميل برنابئو مي شهر ميشل پلاتيني انتخاب,ورزشی
63,را ن عل حسین 25 خرداد نشس حضور تاما آ رئیس فدراسیون جهان وزنه برگزار خواهد_شد نماینده حقوق IWF همراه نماینده آژانس الملل دوپینگ وادا آخرین مدارک فدراسیون وزنه دفاع سعید عل حسین بررس را ن وزنه بردار کشور خواهند_کرد,ورزشی
64,واکن مولر لا موراتي بو رومينيگه بكن باوئر ف بومل نرلينگر هوينس جدال بایرن این بو خاطر گلزني نقطه پنالتي سنگربان گلزن جه حيث گلزني مطرح خط حمله اين ميليتو اختيار نداشتي مجموع خارق العاده اتكا قدر دفاعي بازي نهايي رسيد برنده جا,ورزشی
65,تذكر نماينده وزير بخاطر سیب زمین چندين تن سيب سردخانه اروميه انباشته دول سيب كيلويي 200 تو خريداري حالي كشورهاي سيب وارد,اقتصادی
