title,lead,category,id_news
حضور طالب لو در سپاهان صحت ندارد,برخي رسانه ها امروز و در چند روز گذشته خبر از احتمال حضور وحيد طالب لو دروازه بان تيم فوتبال استقلال در سپاهان براي همراهي در فصل آتي داده بودند.,ورزشی,100000
نخستين پيروزي بسكتبال مهرام در آسیا,مهرامي ها در كوارترهاي اول و سوم را با نتايج (19 بر 8)، (26 بر 7) با پيروزي پشت سر گذاشتند و كوارتر چهارم را با نتيجه (18 بر 16) واگذار و كوارتر سوم نيز با تساوي (16 بر 16) به پايان رسيد.,ورزشی,100001
تبريک حزب الله لبنان بابت قهرماني سپاهان,محمد رضا ساکت نيز در نامه هاي جداگانه اي به سيد حسن نصر الله، شاخه ورزشي حزب الله لبنان و باشگاه العهد لبنان قهرماني زود هنگام تيم فوتبال العهد را در رقابت هاي ليگ حرفه اي باشگاه هاي لبنان تبريک گفت.,ورزشی,100003
علي دايي: مطمئن باشيد تيم فصل آينده با نظر من بسته مي شود,خب شما برويد از همان خبرگزاري بپرسيد. در كنفرانس خبري مطبوعاتي بعد از بازي همه صحبت هاي مرا شنيدند. متاسفانه بعضي از خبرگزاري ها صحبت هاي مرا تحريف مي كنند. من افتخار مي كنم كه با كاشاني كار مي كنم. به خاطر حضور و وجود ايشان بود كه آمدم در باشگاه پرسپوليس و مطمئن باشيد همه ما سعي مان بر اين است كه پرسپوليس موفق باشد. خود كاشاني ثابت كرده از خيلي ها پرسپوليسي تر است و در مدت فعاليتش نشان داده چه توان بالايي در مديريت دارد.,ورزشی,100004
چکیده مهمترین حوادث و اتفاقات شبانه روز گذشته,مرد شرور با 7 نوچه اش تحت تعقيب پليس قرار گرفتند/دستگيري دانشمند هسته اي قلابي/دستگيري يكي از سركردگان گلدكوئيست+عکس/مرد چادر به سر كودك 9 ساله را ربود/شكستن دست و پاي فقرا براي گرفتن پول از بيمه/دو قتل و يك تجاوز در كارنامه جنايتكار بيكار/دزدی های اینترنتی دانشجویی که زیاد می دانست/تصادف در بزرگراه امام علی(ع)/همسایه فضول زوج جوان را روانه دادگاه کرد/دستگیری ده نفر از سران ایرانی شرکت های هرمی در امارات,اجتماعی,100006
انتقال درخت به گلخانه!,ملاحی اشاره به زمان حضور پاس در تهران می کند و می گوید:«اشتباه همه این است که پاس فعلی را با پاس آن زمان قیاس می کنند. آن موقع تیم  شرایط خاص خودش را داشت و ما پاس را با 40 میلیون می بستیم.اما حالا نتیجه گیری در فوتبال بستگی به پول دارد و مطمئن باشید اگر شرایط مساعد باشد پاس هم مثل سپاهان و ذوب آهن می تواند نتیجه بگیرد.منتها این اتفاق نیاز به زمانی  سه تا 5 ساله دارد.»,ورزشی,100007
روزنامه  پرسپوليس منتشر مي شود,آخرين اخبار از باشگاه پرسپوليس، گزارش ها و مصاحبه هاي اختصاصي با بازيکنان و کادر فني تيم فوتبال پرسپوليس از جمله مطالب اين ويژه نامه خواهد بود.,ورزشی,100008
تقسیم پست‏ها در حضور سعيدلو و علي آبادي,محمد علي آبادي در اين نشست گفت: فدراسيون ها مدال هايي كه در گوانگجو كسب خواهند كرد را در گذشته به ما اعلام كرده اند، با توجه به لزوم بازبيني در دو سه ماه آينده طي جلساتي كه با فدراسيون ها خواهيم داشت، عملكرد خود در گوانگجو را پيش بيني خواهيم كرد.,ورزشی,100009
احتمال ماندن و رفتن مايلي كهن 100 درصد!,شهبازي در مورد برگزاري جشن نارنجي وفادار براي ابراهيم صادقي كاپيتان تيم سايپا و اينكه آيا اين بازيكن اصلا پيشنهادي براي جدايي از سايپا داشته است كه به اين تيم وفادار مانده گفت: بله ايشان در مقطعي يكي از مربيان تيم ملي كه در باشگاهي هم فعاليت داشت مي خواست او را به تيم خودش ببرد كه صادقي به اين پيشنهاد پاسخ منفي داد. صادقي امروز بزرگتر و ليدر تيم سايپا است.,ورزشی,100010
نگراني از تكرار بی حرمتی سعودي ها با زائران ايراني,او بر اين نكته يادآوري مي كند كه سال هاست كه عربستان رفتار مناسبي با زائر ايراني ندارند و ما به اين موارد عادت كرده ايم اما يكي، دو سالي است كه اين برخورد ها تشديد شده است.,اجتماعی,100011
معماي ربوده شدن مجسمه هاي شهر تهران,سرقت سريالي مجسمه هاي شهر تهران در تعطيلات نوروز 89 شروع شد که البته با سکوت مسوولان ذيربط، خبري از اين سرقت ها تا اوايل ارديبهشت ماه منتشر نشد.,اجتماعی,100012
اينترميلان جام قهرماني را در آغوش گرفت,اينترميلان و بايرن مونيخ پيش از رسيدن به فينال ليگ قهرمانان باشگاه هاي اروپا فاتح ليگ و جام حذفي ايتاليا و المان شده بودند. فصل گذشته تيم بارسلونا موفق به فتح اين جام معتبر اروپايي شده بود.,ورزشی,100013
پرداخت وام 10 ميليون توماني خوداشتغالي,معاون مشاركت هاي مردمي سازمان بهزيستي كشور از پرداخت وام قرض الحسنه 10 ميليون توماني به منظور خود اشتغالي مددجويان و معلولان تحت پوشش بهزيستي خبر مي دهد.,اجتماعی,100014
فرافكني وزارت بهداشت درباره برنج های آلوده,آخر هفته گذشته وزارت بهداشت در اطلاعیه ای اعلام کرد که نمونه برداری و آزمایش از 42 برنج وارداتی توسط 16 دانشگاه علوم پزشکی، سالم بودن این برنج ها را تایید می کند: «وزارت بهداشت، درمان و آموزش پزشکی از طریق 16 دانشگاه علوم پزشکی کشور ناظر بر گمرکات ورود اقلام خوراکی و آشامیدنی به کشور است.,اجتماعی,100015
جايگزيني مجسمه شهدا با مشاهير: شايعه,موسوي همچنين درباره ديگر مجسمه هاي سطح شهر كه در معرض تخريب قرار دارند نيز گفت:«اين پروژه شامل آثاري مي شود كه ارزش بيشتري دارند و يا هنرمندان آن در قيد حيات نيستند كه مجسمه ميدان حر اثر «رحيم زاده ارژنگ» و مجسمه كوهنورد ميدان دربند اثر «سرهنگ رياحي» از آن جمله است.»,اجتماعی,100016
لاریجانی: پیگیر دریافت غرامت از عراق هستیم,موضوع غرامت جنگ تحمیلی فراموش شدنی نیست و ما در حال پیگیری آن هستیم؛ هرچند که باید در این خصوص رعایت شرایط ویژه ای را که عراق با آن مواجه است را کرد.,سیاسی,100022
احتمال کاهش مدت سربازی دانش آموزان,حمیدرضا حاجی بابایی در پانزدهمین جلسه ی شورای هماهنگی و پشتیبانی بسیج دانش آموزی با موضوع تبیین سیاست ها و اولویتهای بسیج دانش آموزان و فرهنگیان کشور در سال 89 افزود: درس آمادگی دفاعی باید همواره مسائل و رخدادهای روز کشور را به دانش آموزان آموزش دهد.,اجتماعی,100023
توقيف 40 خودرو مزاحم نواميس,براي تعيين تكليف اين خودروها طبق دستورالعمل هاي صادره اقدام شده و در اين زمينه هماهنگي قضايي نيز به عمل آمده است.,اجتماعی,100024
گفتگوی تلفنی احمدی نژاد و اردوغان,اردوغان گفت : ترکیه همه تلاش خود را برای جلب حمایت جهانی از این بیانیه بکار خواهد گرفت تا به عنوان یک فرصت ارزشمند، مورد توجه و اقبال جامعه جهانی قرار بگیرد.,سیاسی,100028
شرط مجلس برای پشتیبانی از بیانیه تهران,مجلس شوراي اسلامي صراحتاً اعلام مي كند، همان گونه كه در بيانيه مجلس منعكس شد، دولت ايران صرفاً در ميانجيگري تركيه و برزيل مي تواند در قالب تحقق تمام مفاد بيانيه تهران گام بردارد و نه اقدام گزينشي.,سیاسی,100031
حراج نادرترین تمبر جهان,"این تمبر سوئدی که به "" سه شیلینگی زرد""  شهرت دارد، تنها نمونه به جای مانده ار تمبرهای سه شیلینگی اشتباهی چاپ شده سبز رنگی است که به عنوان یکی از باارزش ترین آثار حراجی ژنو به شمار می رود.",فرهنگی,100039
تصاویر: خرمشهر 26 سال پس از جنگ,خرمشهر آزاد شد اما چرا آباد نشد. این سؤالی است که در درون نه تنها یک خرمشهری، یک خوزستانی بلکه در درون هر ایرانی بارها و بارها طی بیست و شش سالی که از آزادی خرمشهر گذشته است، مرور می شود.,فرهنگی,100040
